Parameter,CAS,Type,Group,MW,MIR,note,A,B,E/R(K-1),Ea(J/mol),k(T),T,Reference,note2
"1,2,4-Trimethylbenzene",,Combined,Aromatic,120.19,8.87,,3.25E-11,0,0,0,,,,
1-Butene + Isobutylene,,Hydros,Alkene,56.11,8.01,9.73 for 1-butene; 6.29 for Isobutylene,6.54E-12,,,3890,,,,
1-Methylnaphthalene,90-12-0,Megamix,Alkene,142.2,3.06,,4.09E-11,,,,4.09E-11,298,https://doi.org/10.1021/es011434c,
"2,2'-oxybis(1-chloropropane)",540-54-5,Megamix,Halogenatic,78.541,1.5,based on ether and dichloropropane,5.70E-12,,0,4370,9.76E-13,298,10.1039/B102971C,
2-Butanone,78-93-3,Carbonyls,Ketone,72.11,1.48,,2.88E-13,2,-414,-3441.996,,,,
2-Methyl pentane,,Extras,Alkane,86.18,1.5,,5.20E-12,0,0,0,,,,
2-Methylnaphthalene,91-57-6,Megamix,Alkene,142.2,3.06,,4.86E-11,,,,4.86E-11,298,https://doi.org/10.1021/es011434c,
4-Chloro-3-methyl-phenol,59-50-7,Megamix,Hydroxyl,142.58,1.5,based on methyl phenols and chloro-,,,,,3.71E-11,,EPA,
4-Ethyltoluene,622-96-8,Combined,Aromatic,120.19,4.44,,1.56E-11,,,,1.56E-11,323,https://doi.org/10.5194/acp-18-4039-2018,
Acetaldehyde,,Carbonyls,Aldehyde,44.05,6.54,,5.55E-12,0,-311,-2585.654,,,,
Acetone,,Carbonyls,Ketone,58.08,0.36,,4.74E-13,2,230,1912.22,,,,
Acrolein,107-02-8,Carbonyls,Aldehyde,56.06,7.45,,6.55E-12,,,-2770,2.00E-11,298,https://doi.org/10.1021/jp013413a,
Azobenzene,103-33-3,Megamix,Nitro,182.22,0.1,based on nitrobenzene,,,,,3.89E-12,,EPA,
Benzaldehyde,100-52-7,Carbonyls,Aldehyde,106.12,-0.67,,1.30E-11,,,,1.30E-11,298,,
Benzene,,Combined,Aromatic,78.11,0.72,,7.57E-12,0,529,4398.106,,,,
"Benzene, 1,2-dichloro-",,Megamix,Halogenatic,147,0.178,,,,,,4.20E-13,298,"Rate constants for the addition of OH to aromatics (benzene, p-chloroaniline, and o-,m-, and p-dichlorobenzene) and the unimolecular decay of the adduct Kinetics into a quasi-equilibrium ",
"Benzene, 1,3-dichloro",,Megamix,Halogenatic,147,0.178,estimated from p and o-dichlorobenzene,,,,,7.21E-13,298,,
1_2-Dichlorobenzene,,Megamix,Halogenatic,147,0.178,,,,,,3.20E-13,298,,
1_4-Dichlorobenzene,,Megamix,Halogenatic,147,0.178,,,,,,3.20E-13,298,,
"Benzene, chloro-",108-90-7,Combined,Halogenatic,112.56,0.32,,,,,,5.50E-13,297,1986EDN/KLE1355,
"Benzene, n-butyl-",104-51-8,Combined,Aromatic,134.22,2.36,,,,,,1.12E-11,,EPA,
"Benzene, nitro-",,Megamix,Nitro,123.11,0.056,,5.99E-13,,,3660,1.37E-13,298,1986WIT/URB3251,
Propylbenzene,,Combined,Aromatic,120.19,2.03,,5.71E-12,,,,5.71E-12,298,"	1986ATK69",
"Benzene, tert-butyl-",,Combined,Aromatic,134.22,1.95,,4.85E-12,,,,4.85E-12,298,1985OHT/OHY3029,
Benzyl alcohol,,Fragrances,Hydroxyl,108.14,5.11,,,,,,2.97E-11,297,2009HAR/WEL798-804,
Bis(2-chloroethoxy)methane,111-91-1,Megamix,Halogenatic,173.038,1.5,based on methoxy methyl butanol plus chloros,2.46E-11,,,,2.46E-11,298,EPA,
