site,date,start_hour,value,variable,units,quality,prelim,met_source,obs_type,minutes,name 
2077,2021-07-10,0,CALM,WINSPD_wd/ws,Miles Per Hour ( mph ),0,y,AIRS,H,-99,Redlands-Dearborn 
2077,2021-07-10,1, 104/01.4,WINSPD_wd/ws,Miles Per Hour ( mph ),0,y,AIRS,H,-99,Redlands-Dearborn 
2077,2021-07-10,2, 099/01.3,WINSPD_wd/ws,Miles Per Hour ( mph ),0,y,AIRS,H,-99,Redlands-Dearborn 
2077,2021-07-10,3, 103/01.2,WINSPD_wd/ws,Miles Per Hour ( mph ),0,y,AIRS,H,-99,Redlands-Dearborn 
2077,2021-07-10,4, 097/01.5,WINSPD_wd/ws,Miles Per Hour ( mph ),0,y,AIRS,H,-99,Redlands-Dearborn 
2077,2021-07-10,5,CALM,WINSPD_wd/ws,Miles Per Hour ( mph ),0,y,AIRS,H,-99,Redlands-Dearborn 
2077,2021-07-10,6,CALM,WINSPD_wd/ws,Miles Per Hour ( mph ),0,y,AIRS,H,-99,Redlands-Dearborn 
2077,2021-07-10,7,CALM,WINSPD_wd/ws,Miles Per Hour ( mph ),0,y,AIRS,H,-99,Redlands-Dearborn 
2077,2021-07-10,8,CALM,WINSPD_wd/ws,Miles Per Hour ( mph ),0,y,AIRS,H,-99,Redlands-Dearborn 
2077,2021-07-10,9, 295/03.1,WINSPD_wd/ws,Miles Per Hour ( mph ),0,y,AIRS,H,-99,Redlands-Dearborn 
2077,2021-07-10,10, 285/03.7,WINSPD_wd/ws,Miles Per Hour ( mph ),0,y,AIRS,H,-99,Redlands-Dearborn 
2077,2021-07-10,11, 270/03.5,WINSPD_wd/ws,Miles Per Hour ( mph ),0,y,AIRS,H,-99,Redlands-Dearborn 
2077,2021-07-10,12, 285/04.6,WINSPD_wd/ws,Miles Per Hour ( mph ),0,y,AIRS,H,-99,Redlands-Dearborn 
2077,2021-07-10,13, 260/05.3,WINSPD_wd/ws,Miles Per Hour ( mph ),0,y,AIRS,H,-99,Redlands-Dearborn 
2077,2021-07-10,14, 274/07.1,WINSPD_wd/ws,Miles Per Hour ( mph ),0,y,AIRS,H,-99,Redlands-Dearborn 
2077,2021-07-10,15, 268/07.3,WINSPD_wd/ws,Miles Per Hour ( mph ),0,y,AIRS,H,-99,Redlands-Dearborn 
2077,2021-07-10,16, 272/07.7,WINSPD_wd/ws,Miles Per Hour ( mph ),0,y,AIRS,H,-99,Redlands-Dearborn 
2077,2021-07-10,17, 274/07.0,WINSPD_wd/ws,Miles Per Hour ( mph ),0,y,AIRS,H,-99,Redlands-Dearborn 
2077,2021-07-10,18, 274/05.4,WINSPD_wd/ws,Miles Per Hour ( mph ),0,y,AIRS,H,-99,Redlands-Dearborn 
2077,2021-07-10,19, 272/04.4,WINSPD_wd/ws,Miles Per Hour ( mph ),0,y,AIRS,H,-99,Redlands-Dearborn 
2077,2021-07-10,20, 269/03.9,WINSPD_wd/ws,Miles Per Hour ( mph ),0,y,AIRS,H,-99,Redlands-Dearborn 
2077,2021-07-10,21, 287/02.3,WINSPD_wd/ws,Miles Per Hour ( mph ),0,y,AIRS,H,-99,Redlands-Dearborn 
2077,2021-07-10,22,CALM,WINSPD_wd/ws,Miles Per Hour ( mph ),0,y,AIRS,H,-99,Redlands-Dearborn 
2077,2021-07-10,23, 100/01.2,WINSPD_wd/ws,Miles Per Hour ( mph ),0,y,AIRS,H,-99,Redlands-Dearborn 
2077,2021-07-11,0, 104/01.2,WINSPD_wd/ws,Miles Per Hour ( mph ),0,y,AIRS,H,-99,Redlands-Dearborn 
2077,2021-07-11,1, 106/01.2,WINSPD_wd/ws,Miles Per Hour ( mph ),0,y,AIRS,H,-99,Redlands-Dearborn 
2077,2021-07-11,2, 102/01.2,WINSPD_wd/ws,Miles Per Hour ( mph ),0,y,AIRS,H,-99,Redlands-Dearborn 
2077,2021-07-11,3,CALM,WINSPD_wd/ws,Miles Per Hour ( mph ),0,y,AIRS,H,-99,Redlands-Dearborn 
2077,2021-07-11,4,CALM,WINSPD_wd/ws,Miles Per Hour ( mph ),0,y,AIRS,H,-99,Redlands-Dearborn 
2077,2021-07-11,5,CALM,WINSPD_wd/ws,Miles Per Hour ( mph ),0,y,AIRS,H,-99,Redlands-Dearborn 
2077,2021-07-11,6,CALM,WINSPD_wd/ws,Miles Per Hour ( mph ),0,y,AIRS,H,-99,Redlands-Dearborn 
2077,2021-07-11,7, 320/01.2,WINSPD_wd/ws,Miles Per Hour ( mph ),0,y,AIRS,H,-99,Redlands-Dearborn 
2077,2021-07-11,8, 278/02.4,WINSPD_wd/ws,Miles Per Hour ( mph ),0,y,AIRS,H,-99,Redlands-Dearborn 
2077,2021-07-11,9, 289/02.4,WINSPD_wd/ws,Miles Per Hour ( mph ),0,y,AIRS,H,-99,Redlands-Dearborn 
2077,2021-07-11,10, 275/02.5,WINSPD_wd/ws,Miles Per Hour ( mph ),0,y,AIRS,H,-99,Redlands-Dearborn 
2077,2021-07-11,11, 274/02.4,WINSPD_wd/ws,Miles Per Hour ( mph ),0,y,AIRS,H,-99,Redlands-Dearborn 
2077,2021-07-11,12, 278/04.1,WINSPD_wd/ws,Miles Per Hour ( mph ),0,y,AIRS,H,-99,Redlands-Dearborn 
2077,2021-07-11,13, 268/04.5,WINSPD_wd/ws,Miles Per Hour ( mph ),0,y,AIRS,H,-99,Redlands-Dearborn 
2077,2021-07-11,14, 273/05.9,WINSPD_wd/ws,Miles Per Hour ( mph ),0,y,AIRS,H,-99,Redlands-Dearborn 
2077,2021-07-11,15, 267/09.0,WINSPD_wd/ws,Miles Per Hour ( mph ),0,y,AIRS,H,-99,Redlands-Dearborn 
2077,2021-07-11,16, 275/07.9,WINSPD_wd/ws,Miles Per Hour ( mph ),0,y,AIRS,H,-99,Redlands-Dearborn 
2077,2021-07-11,17, 281/06.7,WINSPD_wd/ws,Miles Per Hour ( mph ),0,y,AIRS,H,-99,Redlands-Dearborn 
2077,2021-07-11,18, 281/05.4,WINSPD_wd/ws,Miles Per Hour ( mph ),0,y,AIRS,H,-99,Redlands-Dearborn 
2077,2021-07-11,19, 282/04.2,WINSPD_wd/ws,Miles Per Hour ( mph ),0,y,AIRS,H,-99,Redlands-Dearborn 
2077,2021-07-11,20, 270/02.9,WINSPD_wd/ws,Miles Per Hour ( mph ),0,y,AIRS,H,-99,Redlands-Dearborn 
2077,2021-07-11,21, 314/03.2,WINSPD_wd/ws,Miles Per Hour ( mph ),0,y,AIRS,H,-99,Redlands-Dearborn 
2077,2021-07-11,22, 299/02.7,WINSPD_wd/ws,Miles Per Hour ( mph ),0,y,AIRS,H,-99,Redlands-Dearborn 
2077,2021-07-11,23, 318/01.7,WINSPD_wd/ws,Miles Per Hour ( mph ),0,y,AIRS,H,-99,Redlands-Dearborn 
2077,2021-07-12,0, 302/01.8,WINSPD_wd/ws,Miles Per Hour ( mph ),0,y,AIRS,H,-99,Redlands-Dearborn 
